bag,imu_topic,iteration_step,segment_start_time,segment_end_time,p_IinL.x,p_IinL.y,p_IinL.z,q_ItoL.x,q_ItoL.y,q_ItoL.z,q_ItoL.w,time_offset,g_refine.x,g_refine.y,gravity.x,gravity.y,gravity.z,gyro_bias.x,gyro_bias.y,gyro_bias.z,acce_bias.x,acce_bias.y,acce_bias.z
imu_calibration_ros1,/inertial_sense/imu_raw,0,10,60,-0.862395,-0.0517574,-1.57418,0.0104708,-0.99987,-0.00291528,-0.0119052,-0.00985611,-0.0536799,0.525649,-0.131415,0.525649,9.78201,-0.000726459,0.000563142,-0.00192201,-0.0198988,-0.00847915,0.025717
imu_calibration_ros1,/inertial_sense/imu_raw,1,10,60,-0.86996,0.229094,0.0340929,5.48337e-05,-0.99992,-0.0029292,-0.0122674,-0.00985611,-0.0531042,0.520017,-0.125908,0.520017,9.78238,-0.000698206,0.000578664,-0.00190436,-0.0127384,0.00187184,0.0257262
imu_calibration_ros1,/inertial_sense/imu_raw,2,10,60,-0.881926,0.22245,0.0318222,-0.00107232,-0.999919,-0.00300217,-0.0123582,-0.00985611,-0.0529863,0.518864,-0.128081,0.518864,9.78241,-0.000708898,0.000582993,-0.00188717,-0.0130232,0.00282625,0.0256915
imu_calibration_ros1,/inertial_sense/imu_raw,3,10,60,-0.900606,0.215543,-0.316164,-0.00161712,-0.999915,-0.00308673,-0.012524,-0.00985611,-0.0529048,0.518066,-0.129141,0.518066,9.78244,-0.000707023,0.000577281,-0.00187085,-0.0105179,0.00318354,0.0256406
imu_calibration_ros1,/inertial_sense/imu_raw,4,10,60,-0.924225,0.205435,-0.533768,-0.00197826,-0.999914,-0.00314921,-0.0125965,-0.00985611,-0.052876,0.517784,-0.128961,0.517784,9.78246,-0.000697251,0.000567751,-0.00185451,-0.00838165,0.00364099,0.0256051
imu_calibration_ros1,/inertial_sense/imu_raw,5,10,60,-0.939022,0.205866,-0.539185,-0.0028459,-0.999911,-0.00318853,-0.0126572,-0.00985611,-0.0528392,0.517425,-0.127423,0.517425,9.7825,-0.00068489,0.000560302,-0.0018445,-0.0057799,0.00444847,0.0255761
imu_calibration_ros1,/inertial_sense/imu_raw,6,10,60,-0.938826,0.20488,-0.538053,-0.00287789,-0.999911,-0.00319116,-0.0126498,-0.00985611,-0.0528571,0.5176,-0.127453,0.5176,9.78249,-0.000687355,0.000562129,-0.00185346,-0.00586745,0.00448955,0.02558
imu_calibration_ros1,/inertial_sense/imu_raw,7,10,60,-0.93843,0.204306,-0.536798,-0.00286745,-0.999911,-0.00319272,-0.0126478,-0.00985611,-0.052889,0.517912,-0.127548,0.517912,9.78247,-0.000685529,0.000557646,-0.00184835,-0.00595893,0.00450675,0.0255827
imu_calibration_ros1,/inertial_sense/imu_raw,8,10,60,-0.938451,0.204,-0.53553,-0.00285095,-0.999911,-0.00319727,-0.0126438,-0.00985611,-0.052915,0.518166,-0.127669,0.518166,9.78245,-0.000685835,0.000557565,-0.00185044,-0.00602845,0.00450619,0.0255809
imu_calibration_ros1,/inertial_sense/imu_raw,9,10,60,-0.938233,0.203924,-0.534357,-0.00283353,-0.999911,-0.00319579,-0.0126436,-0.00985611,-0.0529443,0.518453,-0.127738,0.518453,9.78244,-0.000686354,0.00055815,-0.00184929,-0.00611013,0.00450622,0.0255835
imu_calibration_ros1,/inertial_sense/imu_raw,10,10,60,-0.938401,0.203606,-0.533189,-0.0028249,-0.999911,-0.00319225,-0.012635,-0.00985611,-0.0529569,0.518576,-0.127782,0.518576,9.78243,-0.000690501,0.000557421,-0.00184679,-0.00622519,0.00450979,0.0255852
imu_calibration_ros1,/inertial_sense/imu_raw,11,10,60,-0.938195,0.203528,-0.53204,-0.00282729,-0.999911,-0.00319051,-0.0126241,-0.00985611,-0.0529775,0.518778,-0.127715,0.518778,9.78242,-0.000688907,0.00056012,-0.00184707,-0.00633463,0.00457899,0.0255859
imu_calibration_ros1,/inertial_sense/imu_raw,12,10,60,-0.938496,0.203168,-0.530851,-0.00284302,-0.999911,-0.00318704,-0.0126217,-0.00985611,-0.0529978,0.518977,-0.1278,0.518977,9.78241,-0.000691695,0.000560389,-0.00185141,-0.00643896,0.00461699,0.025587
imu_calibration_ros1,/inertial_sense/imu_raw,13,10,60,-0.937882,0.202898,-0.529561,-0.00282941,-0.999911,-0.00318759,-0.0126245,-0.00985611,-0.0530142,0.519137,-0.127886,0.519137,9.7824,-0.000687802,0.000557076,-0.00184988,-0.00646027,0.00459232,0.0255878
